title,author,isbn,price,inventory,genre,format,description
"The Correspondent","Virginia Evans","978-0-593-79843-0",28.00,50,"Literary Fiction","Hardcover","An epistolary family drama following retired Maryland woman Sybil Van Antwerp as letters, grief, secrets, and ancestry questions reshape her relationships."
"Between Two Fires","Christopher Buehlman","978-1-250-43920-8",29.99,50,"Historical Fantasy/Horror","Hardcover","A disgraced knight escorts a mysterious girl through plague-ravaged medieval France and into a brutal struggle between heavenly and infernal forces."
"Kin","Tayari Jones","978-0-525-65918-1",32.00,50,"Literary Fiction","Hardcover","Two motherless girls in rural Louisiana grow up along sharply different paths while confronting abandonment, family history, and adulthood."
"The Crossroads","C.J. Box","978-0-593-85109-8",32.00,50,"Mystery/Thriller","Hardcover","After Joe Pickett is left comatose, his daughters race to uncover who ordered the attack in this Wyoming-set series thriller."
"Just Friends","Haley Pham","978-1-6680-9518-8",19.00,50,"Romance","Paperback","A recent graduate returns home to care for family and reconnects with her childhood best friend turned ex-boyfriend in a second-chance coastal romance."
"Dear Debbie","Freida McFadden","978-1-4642-4962-4",17.99,50,"Mystery/Thriller","Paperback","A fired advice columnist with a dark moral code uses her intelligence and computer skills to pursue vigilante justice in suburbia."
"You with the Sad Eyes: A Memoir","Christina Applegate","978-0-316-59492-9",32.00,50,"Memoir","Hardcover","Christina Applegate reflects on her life, career, trauma, and multiple sclerosis diagnosis in a candid memoir."
"Stripped Down: Unfiltered and Unapologetic","Bunnie Xo","978-0-06-344519-2",29.99,50,"Memoir","Hardcover","Podcast host Bunnie Xo traces her path from a difficult early life to sobriety, reinvention, and entertainment success."
"Maxi's Kitchen: Easy Go-To Recipes to Make Again and Again: A Cookbook","Maxine Sharf","978-0-593-80039-3",35.00,50,"Cookbook","Hardcover","A day-of-the-week cookbook built around approachable repeatable meals, from quick weeknight dishes to shareable weekend recipes."
"The High-Protein Plate: 100 Satisfying Everyday Recipes","Rachael Devaux","978-1-6680-9172-2",35.00,50,"Cookbook/Health","Hardcover","A protein-focused cookbook with 100 everyday recipes, meal-prep guidance, and practical nutrition advice for balanced meals."
